age,bodyType,bmi,weight,ageExtrap,weightExtrap,remi.V3,prop.V3,remi.stepdown_decline_60to360_pct,prop.stepdown_decline_60to360_pct,remi.bestfix_maxdev_pct,prop.bestfix_maxdev_pct,remi.decrement50_min,prop.decrement50_min
3,under,14,13,true,true,2.7,52.2,5.2,20.5,15.4,22.2,7,14.8
3,normal,16,14.5,true,true,3.1,56.2,5.4,20.1,15.8,22.3,7.2,14.8
3,obese,18,16.5,true,true,3.5,61.2,5.6,19.5,16,22.4,7.4,14.9
6,under,13.5,18,false,true,3.9,70.6,5.9,22.6,15.9,24,7.6,15.7
6,normal,15.5,21,false,false,4.5,78.4,6.2,21.9,16.1,24.2,7.9,15.6
6,obese,18.5,25,false,false,5.4,87.7,6.6,21.2,16.7,24.5,8.3,15.5
10,under,14.5,27.5,false,false,6.1,99.9,7,23,17.3,24.9,8.6,15.6
10,normal,17,32.5,false,false,7.2,111.6,7.3,22.2,17.9,25.2,8.9,15.4
10,obese,22,42,false,false,9.3,130.7,7.9,21.1,17.8,25.5,9.5,15.1
20,under,17,49.5,false,false,11.8,168,8.8,23.3,18.8,25.1,10.1,14.1
20,normal,22,64.5,false,false,15.4,198.4,9.4,22.2,19.6,25.7,10.8,13.5
20,obese,30,87.5,false,false,20.9,234.6,10,20.9,19.6,26,11.6,12.8
40,under,17,49.5,false,false,13.7,127.6,10,21.8,19.6,22.4,10.5,10.6
40,normal,22,64.5,false,false,17.8,150.6,10.6,20.7,19.9,22.8,11.2,9.9
40,obese,30,87.5,false,false,24.2,178.1,11.4,19.4,20.8,23,12.1,9
60,under,17,48,false,false,15.3,93.8,11.3,19.8,20.3,19,10.9,8.1
60,normal,22,62,false,false,19.8,110.1,12,18.8,21.2,19.3,11.6,7.4
60,obese,30,84.5,false,false,27,130.5,12.7,17.5,21.1,19.6,12.5,6.5
80,under,17,46.5,false,false,17.2,68.8,12.8,17.8,21.2,16,11.4,6.9
80,normal,22,60,false,false,22.2,80.7,13.4,16.8,21.5,16.2,12.1,6.2
80,obese,30,81.5,false,false,30.2,95.5,14.2,15.6,22.5,16.5,13,5.4
90,under,17,44.5,false,false,17.7,57.5,13.5,16.8,21.4,14.9,11.5,6.6
90,normal,22,57.5,false,false,22.9,67.5,14.2,15.9,22.2,15.4,12.3,6
90,obese,30,78.5,false,false,31.2,80.2,15,14.7,22.5,15.7,13.2,5.2
100,under,17,42.5,true,false,18.2,47.8,14.2,15.8,22.1,12.8,11.7,6.4
100,normal,22,55,true,false,23.6,56.2,14.9,15,22.7,13.4,12.5,5.8
100,obese,30,75,true,false,32.1,66.6,15.8,13.8,22.9,13.9,13.5,5.1
